node,score
1005,6250
1011,84
1015,6255
1016,10837
1017,10722
1021,9377
1025,10737
1030,8014
1031,4972
1033,8337
1034,34
1035,13417
1038,13772
1039,8319
1043,6721
1052,6255
1056,1775
1059,6255
1064,2080
1066,11149
1073,11141
108,92
1080,6545
1082,3525
1084,3640
1088,8464
1089,5605
109,88
1090,5685
1093,16735
110,37
1103,12651
111,34
1114,7221
1115,84
1118,84
1123,9396
1135,84
1139,84
1140,14264
1141,84
1146,34
1147,34
115,19
1155,15902
1156,15822
1160,16282
1162,18
1163,6561
1165,18
117,53
1170,5569
1172,15715
1177,16211
1181,9118
1182,17127
1187,9213
1188,16800
119,53
1191,17238
1195,7186
120,53
1201,7863
1209,10
121,53
1211,10
1216,10
1218,923
1219,10
1222,10
1226,10
1230,10
1232,10
1237,948
1240,10216
1249,5914
1252,8198
1253,11331
1262,10111
1263,18910
1267,8421
1269,12266
1272,12526
1274,13951
1276,2553
1278,5063
1284,10511
1289,19698
1290,18853
1293,7528
1297,19738
12H,16716
1300,8361
1301,12673
1302,8926
1303,10259
1306,18319
1312,9126
1315,8644
1318,13023
1319,9310
1320,10
1326,10
1328,1228
1329,20021
133,56
1332,13283
1336,13208
1338,20091
1339,13473
1340,19653
1348,20393
1350,16311
1352,10
1354,9824
1358,20196
136,37
1360,9674
1362,20246
1368,21611
1369,14976
1370,18511
1371,21793
1372,15323
1374,1318
1375,20848
1376,15558
1377,9992
1380,1373
1386,23056
139,62
1390,9867
1396,22018
1399,9716
1408,23334
141,62
1410,7553
1414,9414
1415,13062
142,62
1420,4173
1421,80
1425,5573
1429,8276
1441,10
1442,7133
1445,21847
1447,7868
145,37
1450,60
1451,20342
1455,16271
1456,21857
1458,10
1466,24764
1473,4748
1480,3845
1485,60
1488,19887
149,29
1491,25154
1498,14922
1499,13226
150,37
1501,3495
1504,26372
1507,19947
1514,1290
1518,25999
1520,1480
1537,10
1542,11544
1543,25581
1548,13021
155,59
1567,27502
1569,10
1571,520
1574,27827
158,28
1587,29087
159,28
1592,28642
1593,55
1595,28379
1603,10
1606,10
1609,13764
162,28
1622,10645
164,28
165,28
1651,12697
1654,36092
1662,23640
1672,10
1674,13480
1682,22665
1686,22640
169,62
1698,22493
170,108
1700,35014
1703,8787
1705,35234
1707,26
1719,10486
1721,35604
1727,35794
1729,10996
1736,35944
1743,13479
1748,56
1749,20398
1752,19260
1756,0
1759,37948
1764,33508
1765,33193
1766,32583
1771,32218
1778,15412
178,95
1785,37671
1786,37656
1787,26973
1791,37691
180,165
1803,37229
1808,14357
1817,5580
1828,22563
1833,12393
1834,22333
1835,10249
1837,10594
184,144
1841,5640
1842,36333
1843,12366
1846,36438
185,144
1867,34349
1868,8127
1870,21680
1877,3070
188,120
1888,24737
189,120
1890,34302
1897,80
1899,7619
190,143
1901,7859
1910,34735
1911,34875
1915,0
1917,38959
192,38
1922,7547
1924,8874
1926,7709
1928,9106
1938,10173
1939,7304
1940,37690
1941,10648
1947,10825
1953,11765
1959,22871
196,96
1965,30205
1967,5344
197,28
1970,5655
1973,1199
1985,4824
1989,23880
199,88
1990,5339
1991,5347
1993,24640
1996,332
2004,4493
2009,979
2016,1034
203,87
2030,29735
2035,16694
2047,2369
2049,17124
2050,2029
2053,2024
2055,1823
2058,1150
206,142
2061,859
2066,1129
2069,959
2076,27813
208,142
2081,1150
2083,27733
2091,993
2092,2092
2093,2970
2094,3172
2101,3685
2106,740
2107,24232
2109,7706
2110,8021
2111,8096
2114,6118
2115,8119
2116,10549
2117,6357
2118,8384
2120,11354
2122,4116
2125,4542
2130,7687
2134,7792
2136,5210
2141,8382
2142,10927
2143,8232
215,79
2150,10107
2152,15430
2153,10735
2157,0
2160,17828
2162,17388
2165,11370
2169,19483
217,145
2172,15498
2190,13133
2193,11383
2195,10258
2196,22538
2202,10538
221,63
2211,18758
2214,13905
2218,10583
2219,10583
2223,24938
223,152
2232,11940
2237,19264
2238,11415
224,31
2244,10790
2245,21004
2246,10750
2251,22964
2254,30550
2257,28270
2259,22864
226,78
2260,10774
2262,23447
227,78
2270,33723
2289,6250
2293,6030
2294,8981
2297,37328
23,87
230,57
2304,34323
2308,32652
231,73
2313,39998
2315,40408
2317,40983
2319,40918
2320,40663
2327,42158
2329,21207
2338,40258
2343,40762
2344,40647
2347,36724
2350,36679
236,43
2363,38743
237,43
2375,32284
238,159
2387,22422
2389,9342
2390,18523
2391,18473
2397,16421
2402,9259
241,31
2413,9303
2424,9203
2427,9303
243,57
2442,12191
2445,9203
2448,15271
246,159
2462,15036
247,55
2481,8468
2489,12911
2496,10267
2499,12774
25,85
253,35
255,152
256,152
258,152
259,152
263,149
266,149
268,159
269,149
273,159
28,71
282,58
285,31
286,55
300,166
303,55
31,84
312,74
32,92
325,55
328,55
330,55
333,71
334,28
34,79
342,163
349,31
351,173
357,179
358,173
363,159
365,159
368,152
369,152
37,82
373,155
376,155
379,134
38,79
380,134
383,107
384,52
385,99
387,107
388,96
39,70
395,47
398,28
404,62
405,31
411,47
417,47
42,90
422,180
426,172
436,47
438,177
44,79
444,177
446,177
449,177
45,82
454,199
46,69
460,208
462,206
470,161
478,206
48,55
483,50
484,212
490,153
491,118
497,193
502,219
506,59
536,53
538,59
551,113
552,106
558,121
560,37
561,155
563,121
564,155
576,162
58,25
582,162
591,179
593,172
594,50
596,172
598,187
6,85
601,31
603,210
609,31
610,248
614,12
618,204
62,115
621,69
622,300
629,131
630,411
64,89
646,23
658,106
662,415
665,90
668,113
67,86
675,113
679,158
68,89
684,408
70,25
702,788
704,420
708,924
709,912
711,420
712,982
713,408
715,99
72,55
724,748
725,400
726,415
727,1747
728,400
733,2022
734,2022
735,1026
736,392
738,1407
74,52
741,1427
744,2647
747,2824
748,1448
749,420
750,33
751,450
755,76
758,693
759,2199
76,32
765,2259
768,2267
77,32
773,853
782,60
783,998
785,1160
786,1332
787,1557
788,4168
79,55
790,2063
791,4233
796,1582
798,2228
799,1992
8,90
80,55
800,2046
803,2201
808,4105
809,2209
810,63
817,63
822,5144
829,5757
833,6265
834,4239
835,6325
836,4069
837,2359
84,17
841,2484
844,7375
845,859
848,51
853,35
858,8347
86,32
863,4262
867,35
868,3954
869,9590
87,17
871,35
873,4555
875,10020
876,10335
877,4173
879,10185
88,32
885,48
888,4408
89,14
894,4584
900,5554
904,1608
905,1830
906,1890
909,9216
91,176
913,7419
918,872
919,5776
92,35
924,5290
926,4725
927,5395
931,1933
933,2701
934,6158
95,192
96,126
965,6035
966,677
970,2405
974,6085
975,6625
980,84
989,13425
99,100
993,34
Como_DIV,18965
Edinger_DIV,17463
J1,12368
J10,38543
J100,34317
J101,6163
J102,41
J103,41
J104,24074
J105,23454
J106,34400
J107,41
J108,27748
J109,27783
J11,38398
J110,27523
J111,27663
J112,27718
J113,31972
J114,28003
J115,27538
J116,17616
J117,16902
J118,24952
J12,9074
J121,7784
J122,8634
J123,8634
J124,9339
J125,9659
J128,8629
J129,8489
J13,78
J130,8659
J131,27643
J132,8284
J133,8229
J135,138
J136,8319
J137,37715
J138,3385
J139,44
J14,33
J140,44
J141,8712
J143,32
J145,10
J146,35
J147,35
J148,24082
J149,14057
J15,98
J150,51
J151,24792
J152,23587
J153,10535
J154,24134
