,,,,,,3.240224658,,,,2.909413699,,,,2.59689589,,,,2.397473973,,,,2.352567123,,,,2.486890411,,,,2.757824658,,,,3.087347945,,,,3.395046575,,,,3.598528767,,,,3.630794521,,,,3.494756164,,,,3.218849315,,,,2.887106849,,,,2.574276712,,,,2.383336986,,,,2.354293151,,,,2.499679452,,,,2.780912329,,,,3.122257534,,,,3.440041096,,,,3.639090411,,,,3.669676712,,,,3.51390137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet,,day,hour,feet
1/1/2017,0:00,4.244,,1/1/2017,0:00,4.244,,1/1/2017,1:00,4.201,,1/1/2017,2:00,3.853,,1/1/2017,3:00,3.319,,1/1/2017,4:00,2.853,,1/1/2017,5:00,2.633,,1/1/2017,6:00,2.728,,1/1/2017,7:00,3.233,,1/1/2017,8:00,3.975,,1/1/2017,9:00,4.89,,1/1/2017,10:00,5.53,,1/1/2017,11:00,5.825,,1/1/2017,12:00,5.658,,1/1/2017,13:00,5.061,,1/1/2017,14:00,4.073,,1/1/2017,15:00,2.656,,1/1/2017,16:00,1.494,,1/1/2017,17:00,0.533,,1/1/2017,18:00,0.103,,1/1/2017,19:00,0.133,,1/1/2017,20:00,0.71,,1/1/2017,21:00,1.448,,1/1/2017,22:00,2.393,,1/1/2017,23:00,3.282
1/1/2017,1:00,4.201,,1/2/2017,0:00,3.968,,1/2/2017,1:00,4.24,,1/2/2017,2:00,3.991,,1/2/2017,3:00,3.686,,1/2/2017,4:00,3.099,,1/2/2017,5:00,2.666,,1/2/2017,6:00,2.534,,1/2/2017,7:00,2.705,,1/2/2017,8:00,3.125,,1/2/2017,9:00,3.886,,1/2/2017,10:00,4.624,,1/2/2017,11:00,5.146,,1/2/2017,12:00,5.264,,1/2/2017,13:00,5.048,,1/2/2017,14:00,4.267,,1/2/2017,15:00,3.289,,1/2/2017,16:00,2.131,,1/2/2017,17:00,1.199,,1/2/2017,18:00,0.559,,1/2/2017,19:00,0.238,,1/2/2017,20:00,0.31,,1/2/2017,21:00,0.937,,1/2/2017,22:00,1.895,,1/2/2017,23:00,2.784
1/1/2017,2:00,3.853,,1/3/2017,0:00,3.561,,1/3/2017,1:00,4.073,,1/3/2017,2:00,4.204,,1/3/2017,3:00,4.053,,1/3/2017,4:00,3.519,,1/3/2017,5:00,3.076,,1/3/2017,6:00,2.669,,1/3/2017,7:00,2.495,,1/3/2017,8:00,2.728,,1/3/2017,9:00,3.204,,1/3/2017,10:00,3.784,,1/3/2017,11:00,4.257,,1/3/2017,12:00,4.667,,1/3/2017,13:00,4.785,,1/3/2017,14:00,4.388,,1/3/2017,15:00,3.88,,1/3/2017,16:00,3,,1/3/2017,17:00,2.036,,1/3/2017,18:00,1.366,,1/3/2017,19:00,0.727,,1/3/2017,20:00,0.54,,1/3/2017,21:00,0.622,,1/3/2017,22:00,1.238,,1/3/2017,23:00,2.144
1/1/2017,3:00,3.319,,1/4/2017,0:00,3.109,,1/4/2017,1:00,3.922,,1/4/2017,2:00,4.395,,1/4/2017,3:00,4.503,,1/4/2017,4:00,4.204,,1/4/2017,5:00,3.817,,1/4/2017,6:00,3.125,,1/4/2017,7:00,2.715,,1/4/2017,8:00,2.469,,1/4/2017,9:00,2.541,,1/4/2017,10:00,2.817,,1/4/2017,11:00,3.322,,1/4/2017,12:00,3.765,,1/4/2017,13:00,4.119,,1/4/2017,14:00,4.145,,1/4/2017,15:00,3.965,,1/4/2017,16:00,3.401,,1/4/2017,17:00,2.758,,1/4/2017,18:00,2.092,,1/4/2017,19:00,1.448,,1/4/2017,20:00,1.032,,1/4/2017,21:00,0.989,,1/4/2017,22:00,1.291,,1/4/2017,23:00,1.855
1/1/2017,4:00,2.853,,1/5/2017,0:00,2.715,,1/5/2017,1:00,3.614,,1/5/2017,2:00,4.267,,1/5/2017,3:00,4.762,,1/5/2017,4:00,4.821,,1/5/2017,5:00,4.572,,1/5/2017,6:00,4.126,,1/5/2017,7:00,3.407,,1/5/2017,8:00,2.869,,1/5/2017,9:00,2.505,,1/5/2017,10:00,2.492,,1/5/2017,11:00,2.646,,1/5/2017,12:00,2.902,,1/5/2017,13:00,3.361,,1/5/2017,14:00,3.601,,1/5/2017,15:00,3.768,,1/5/2017,16:00,3.788,,1/5/2017,17:00,3.473,,1/5/2017,18:00,2.961,,1/5/2017,19:00,2.364,,1/5/2017,20:00,1.882,,1/5/2017,21:00,1.458,,1/5/2017,22:00,1.468,,1/5/2017,23:00,1.668
1/1/2017,5:00,2.633,,1/6/2017,0:00,2.242,,1/6/2017,1:00,3.027,,1/6/2017,2:00,3.912,,1/6/2017,3:00,4.765,,1/6/2017,4:00,5.139,,1/6/2017,5:00,5.172,,1/6/2017,6:00,4.854,,1/6/2017,7:00,4.198,,1/6/2017,8:00,3.381,,1/6/2017,9:00,2.593,,1/6/2017,10:00,2.003,,1/6/2017,11:00,1.672,,1/6/2017,12:00,1.672,,1/6/2017,13:00,2.016,,1/6/2017,14:00,2.351,,1/6/2017,15:00,2.905,,1/6/2017,16:00,3.414,,1/6/2017,17:00,3.565,,1/6/2017,18:00,3.437,,1/6/2017,19:00,2.997,,1/6/2017,20:00,2.554,,1/6/2017,21:00,2.088,,1/6/2017,22:00,1.695,,1/6/2017,23:00,1.494
1/1/2017,6:00,2.728,,1/7/2017,0:00,1.79,,1/7/2017,1:00,2.472,,1/7/2017,2:00,3.332,,1/7/2017,3:00,4.267,,1/7/2017,4:00,5.149,,1/7/2017,5:00,5.55,,1/7/2017,6:00,5.458,,1/7/2017,7:00,5.041,,1/7/2017,8:00,4.24,,1/7/2017,9:00,3.214,,1/7/2017,10:00,2.21,,1/7/2017,11:00,1.396,,1/7/2017,12:00,0.881,,1/7/2017,13:00,0.756,,1/7/2017,14:00,1.107,,1/7/2017,15:00,1.642,,1/7/2017,16:00,2.331,,1/7/2017,17:00,2.961,,1/7/2017,18:00,3.417,,1/7/2017,19:00,3.371,,1/7/2017,20:00,3.154,,1/7/2017,21:00,2.623,,1/7/2017,22:00,2.114,,1/7/2017,23:00,1.655
